SITE_NO,Water,Developed,Mechanically_Disturbed_National_Forests,Mechanically_Disturbed_Other_Public_Lands,Mechanically_Disturbed_Private,Mining,Barren,Deciduous_Forest,Evergreen_Forest,Mixed_Forest,Grassland,Shrubland,Cultivated_Cropland,Hay_Pasture_land,Herbaceous_Wetland,Woody_Wetland,Perennial_Ice_Snow
7288500,1.05260097118,1.34337472013,-9999,-9999,-9999,0.00290773748946,0.0116309499578,1.6835800064,0.241342211625,1.92201448053,-9999,-9999,73.4959727836,5.52179349248,0.00581547497892,14.7189671716,-9999
7373500,0.270087778528,0.945307224848,-9999,-9999,-9999,-9999,0.270087778528,16.4078325456,11.6137744767,16.2052667117,0,-9999,31.1276164754,22.3497636732,-9999,0.742741390952,-9999
8136000,0.211586549391,0.504922447409,-9999,-9999,-9999,-9999,0.429730533163,0.60153531397,0.171804780807,-9999,15,72,10.1246786857,0.265794673615,0.017049329393,0.0109290573032,-9999
2388350,0.526768436895,0.129004515158,-9999,-9999,-9999,0.451515803053,-9999,28.8110083853,20.6514728015,28.1337346807,-9999,-9999,9.25607396259,11.7394108794,-9999,0.301010535369,-9999
8103800,0.348648249372,0.440242280987,-9999,-9999,-9999,-9999,0.759344068548,5.51336977397,8.83734672773,-9999,34,43,3.23238292215,3.52489289408,0.0265918156301,-9999,-9999
8072760,0.0565610859729,0.678733031674,-9999,-9999,-9999,-9999,0.622171945701,7.12669683258,3.50678733032,2.60180995475,2,5,37.3868778281,34.1063348416,4.18552036199,2.54524886878,-9999
2372250,0.19096464426,0.278262767351,-9999,-9999,-9999,-9999,-9999,13.0237887385,21.9718463553,21.1807071148,0,-9999,27.4552597119,5.88716717591,0.152771715408,9.85377564382,-9999
2427500,1.19879641261,1.27685431334,-9999,-9999,-9999,0.0872892991733,0.00186965031696,26.9546317665,18.3157956238,22.8253921884,0,-9999,16.1730595075,9.53638514797,0.190587479186,3.43922175806,-9999
2393419,0.654664484452,0.327332242226,-9999,-9999,-9999,-9999,-9999,27.6595744681,13.7479541735,25.0409165303,-9999,-9999,23.0769230769,9.49263502455,-9999,-9999,-9999
2297310,0.0473653049142,0.674955595027,-9999,-9999,-9999,0.130254588514,-9999,0.130254588514,8.76258140912,0.414446417999,40,0,13.5464772054,7.70870337478,7.17584369449,21.2078152753,-9999
7340500,0.454332865638,0.046769559698,-9999,-9999,-9999,0.0133627313423,0.0200440970134,50.4175853544,11.8594240663,33.1128482662,-9999,-9999,0.307342820873,3.56116790272,0.100220485067,0.106901850738,-9999
2346180,0.979944853306,3.84638273393,-9999,-9999,-9999,0.061494515086,0.00198369403503,18.3789252346,18.1031917637,14.7368629863,-9999,-9999,24.2169367797,12.4040388011,0.132907500347,7.13733113805,-9999
7041000,0.101132686084,1.96197411003,-9999,-9999,-9999,0.141585760518,-9999,16.1610032362,0.161812297735,1.65857605178,1,0,66.1610032362,4.38915857605,0.0202265372168,8.35355987055,-9999
2423496,1.13090792702,5.83591166115,-9999,-9999,-9999,0.362744052064,-9999,37.3092926491,14.349727942,29.9050464099,-9999,-9999,5.13176144244,5.56918809346,0.0426757708311,0.362744052064,-9999
8052745,0.0641848523748,0.641848523748,-9999,-9999,-9999,-9999,-9999,1.7971758665,1.34788189987,0.834403080873,1,0,63.4788189987,28.8831835687,0.0641848523748,1.21951219512,-9999
8155200,0.349087003222,0.805585392052,-9999,-9999,-9999,0.0268528464017,0.510204081633,9.4522019334,44.0118152524,-9999,32,12,0.295381310419,0.537056928034,-9999,-9999,-9999
7077555,0.0352865475227,0.184735454678,-9999,-9999,-9999,0.00207567926604,0.0249081511925,18.7101729041,0.371546588621,8.58293376507,-9999,0,50.5386387695,3.56601697906,0.149448907155,17.8321605745,-9999
7364700,0.447738150378,4.0296433534,-9999,-9999,-9999,0.0463177396943,-9999,9.17091245947,50.4400185271,18.7586845762,-9999,-9999,3.07241006639,3.01065308013,0.0617569862591,10.961865061,-9999
8167800,0.42333730912,0.824835788802,-9999,-9999,-9999,0.00167990995683,0.557730105666,3.67060325567,48.5897155912,0.00839954978413,22,21,1.51863860097,1.22633426848,0.0268785593092,-9999,-9999
2365200,0.467013388728,0.745250261558,-9999,-9999,-9999,-9999,0.00454883170839,12.3743385241,21.948112993,19.9147852193,0,-9999,28.8926627345,9.30387712089,0.216069506149,6.11362981608,-9999
7311200,1.55945419103,0.0974658869396,-9999,-9999,-9999,-9999,-9999,12.2807017544,0.877192982456,0.194931773879,70,12,0.292397660819,2.72904483431,-9999,-9999,-9999
2329000,1.17850806792,1.34324575484,-9999,-9999,-9999,0.0063360648813,0.0696967136943,3.17436850553,26.7994424263,7.91374503675,1,0,37.4841598378,5.53138464138,1.73185773422,13.8210695278,-9999
8062895,1.0662358643,2.39095315024,-9999,-9999,-9999,-9999,0.0538502961766,10.2207862143,0.269251480883,0.549273021002,0,0,22.6386645127,59.8384491115,1.08777598277,1.7985998923,-9999
2429595,0.281042411855,0.281042411855,-9999,-9999,-9999,-9999,-9999,4.42003065917,45.2733776188,17.577925396,-9999,-9999,21.1548288196,8.635666837,0.102197240675,2.27388860501,-9999
7382000,1.11609367215,0.548081714001,-9999,-9999,-9999,0.129546586946,0.039860488291,12.5560538117,43.288490284,12.4364723468,0,-9999,3.56751370204,3.60737419033,0.597907324365,21.8335824614,-9999
8037000,0.469356440112,2.14068658423,-9999,-9999,-9999,0.00451304269338,0.148930408882,24.6231609351,7.1155639799,20.7464572615,0,0,3.37425158709,33.058037729,1.29975629569,6.9801726991,-9999
2390140,0.478011472275,0.334608030593,-9999,-9999,-9999,-9999,-9999,25.5736137667,9.65583173996,20.0764818356,-9999,-9999,19.4550669216,24.3307839388,-9999,0.0956022944551,-9999
8164390,0.268404907975,0.48142467621,-9999,-9999,-9999,-9999,0.149113837764,24.6037832311,9.93950238582,0.741308793456,27,15,3.33588957055,15.584526244,1.94700068166,0.396216768916,-9999
