COMID,CAT_NDAMS2013,CAT_NID_STORAGE2013,CAT_NORM_STORAGE2013,CAT_MAJOR2013,ACC_NDAMS2013,ACC_NID_STORAGE2013,ACC_NORM_STORAGE2013,ACC_MAJOR2013,TOT_NDAMS2013,TOT_NID_STORAGE2013,TOT_NORM_STORAGE2013,TOT_MAJOR2013,siteno,station_nm,dec_lat_va,dec_long_v,min_date,max_date,GagesII,FEATUREDET,Active,DASqKm,DASqMi,STATE
425086,0,0,0,0,867,5743719.51,1902704.73,56,867,5743719.51,1902704.73,56,7316000,Red River near Gainesville,33.727883,-97.160013,1936/10/01 00:00:00,2015/09/30 00:00:00,,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07316000,1,79585.52,30728,OK
445834,0,0,0,0,0,0,0,0,0,0,0,0,2374950,BIG ESCAMBIA CR AT SARDINE BR NR STANLEY CROSSROAD,31.129621,-87.370535,2000/10/01 00:00:00,2016/09/30 00:00:00,Ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=02374950,1,499.87,193,AL
446386,0,0,0,0,0,0,0,0,0,0,0,0,2375000,BIG ESCAMBIA CREEK AT FLOMATON AL,31.010737,-87.262752,1939/10/01 00:00:00,1951/09/30 00:00:00,,http://waterdata.usgs.gov/nwis/nwisman/?site_no=02375000,1,854.7,330,AL
447866,0,0,0,0,0,0,0,0,0,0,0,0,2376000,PINE BARREN CREEK NEAR BARTH,30.798799,-87.368033,1952/10/01 00:00:00,1994/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=02376000,0,195.027,75.3,FL
448444,0,0,0,0,98,29609,27090,2,98,29609,27090,2,2375500,ESCAMBIA RIVER NEAR CENTURY,30.965183,-87.234139,1934/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=02375500,1,9886.03,3817,FL
448560,0,0,0,0,107,31703,28437,3,107,31703,28437,3,2376033,ESCAMBIA RIVER NR MOLINO,30.670192,-87.266918,1996/10/01 00:00:00,2015/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=02376033,1,10740.73,4147,FL
476177,0,0,0,0,2,462,377,0,2,462,377,0,2366996,ALAQUA CREEK NEAR PLEASANT RIDGE,30.66908,-86.186609,1998/10/01 00:00:00,2016/09/30 00:00:00,Ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=02366996,1,101.269,39.1,FL
476885,0,0,0,0,3,532,433,0,3,532,433,0,2367000,ALAQUA CREEK NR DEFUNIAK SPRINGS,30.616859,-86.163831,1951/10/01 00:00:00,1977/09/30 00:00:00,Ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=02367000,0,169.904,65.6,FL
476933,0,0,0,0,3,532,433,0,3,532,433,0,2367006,ALAQUA CREEK NEAR PORTLAND,30.556306,-86.179109,1980/10/01 00:00:00,1994/09/30 00:00:00,,http://waterdata.usgs.gov/nwis/nwisman/?site_no=02367006,0,216.783,83.7,FL
476941,0,0,0,0,0,0,0,0,0,0,0,0,2367310,JUNIPER CREEK AT STATE HWY 85 NR NICEVILLE,30.557418,-86.519395,1977/10/01 00:00:00,1993/09/30 00:00:00,Ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=02367310,1,71.484,27.6,FL
572690,0,0,0,0,3,2639,2200,1,3,2639,2200,1,7311200,Blue Beaver Creek near Cache,34.623406,-98.563671,1964/10/01 00:00:00,2003/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07311200,0,63.714,24.6,OK
576014,0,0,0,0,27,30773.3,14705.38,1,27,30773.3,14705.38,1,7311500,Deep Red Creek near Randlett,34.220925,-98.45311,1949/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07311500,1,1564.36,604,OK
588170,0,0,0,0,0,0,0,0,0,0,0,0,7335700,Kiamichi River near Big Cedar,34.638437,-94.612724,1965/10/01 00:00:00,2016/09/30 00:00:00,Ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07335700,1,102.564,39.6,OK
591268,0,0,0,0,18,1248278,553866,6,18,1248278,553866,6,7335790,Kiamichi River near Clayton,34.574823,-95.340802,1981/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07335790,1,1810.41,699,OK
592616,0,0,0,0,1,99,84,0,1,99,84,0,7336000,Tenmile Creek near Miller,34.29871,-95.744698,1955/10/01 00:00:00,1970/09/30 00:00:00,,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07336000,0,176.12,68,OK
592740,0,0,0,0,28,1251616.72,556462.47,8,28,1251616.72,556462.47,8,7336500,Kiamichi River near Belzoni,34.200658,-95.484409,1925/10/01 00:00:00,1972/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07336500,0,3685.57,1423,OK
616744,0,0,0,0,1,97,36,0,1,97,36,0,7337900,Glover River near Glover,34.097607,-94.902167,1961/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07337900,1,828.8,320,OK
617718,0,0,0,0,1,968210,53750,1,1,968210,53750,1,7337500,Little River near Wright City,34.069551,-95.046616,1945/10/01 00:00:00,1988/09/30 00:00:00,,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07337500,0,1670.55,645,OK
618700,0,0,0,0,4,968571,53934.6,1,4,968571,53934.6,1,7338000,Little River near Idabel,33.935665,-94.826329,1929/10/01 00:00:00,1946/09/30 00:00:00,,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07338000,0,3038.07,1173,OK
618952,0,0,0,0,7,969002,54256.6,1,7,969002,54256.6,1,7338500,Little River blw Lukfata Creek nr Idabel,33.941221,-94.758548,1946/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07338500,1,3180.52,1228,OK
630159,0,0,0,0,6,3392,2027,1,6,3392,2027,1,7338750,Mountain Fork at Smithville,34.462326,-94.63522,1991/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07338750,1,833.98,322,OK
632727,0,0,0,0,7,1602342,920097,2,7,1602342,920097,2,7339000,Mountain Fork near Eagletown,34.041778,-94.619936,1930/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07339000,1,2072,800,OK
673192,0,0,0,0,0,0,0,0,0,0,0,0,7309435,Jimmy Creek nr Meers,34.796944,-98.584167,2008/10/01 00:00:00,2016/09/30 00:00:00,Ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07309435,1,8.2621,3.19,OK
674726,0,0,0,0,25,322324,165425.62,3,25,322324,165425.62,3,7311000,East Cache Creek near Walters,34.362307,-98.282547,1970/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07311000,1,1797.46,694,OK
698694,0,0,0,0,4,1663,342,0,4,1663,342,0,7332390,Blue River near Connerville,34.383426,-96.600558,2003/10/01 00:00:00,2016/09/30 00:00:00,Ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07332390,1,419.58,162,OK
707978,0,0,0,0,1,58,45,0,1,58,45,0,7333500,Chickasaw Creek near Stringtown,34.461482,-96.026935,1955/10/01 00:00:00,1968/09/30 00:00:00,,,,0,0,
731125,0,0,0,0,0,0,0,0,0,0,0,0,7035500,Barnes Creek near Fredericktown,37.572419,-90.383744,1955/10/01 00:00:00,1975/09/30 00:00:00,Ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07035500,0,10.4377,4.03,MO
731205,0,0,0,0,12,12029,10290,1,12,12029,10290,1,7035000,Little St. Francis River at Fredericktown,37.559367,-90.312914,1983/10/01 00:00:00,1997/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07035000,1,234.395,90.5,MO
731519,0,0,0,0,32,21604,15940,1,32,21604,15940,1,7035800,St. Francis River near Mill Creek,37.502417,-90.457889,1999/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07035800,1,1307.95,505,MO
732863,0,0,0,0,37,22163,16272,1,37,22163,16272,1,7036100,St. Francis River near Saco,37.3845,-90.473861,1983/10/01 00:00:00,1997/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07036100,1,1719.76,664,MO
733161,0,0,0,0,12,8267,5839,4,12,8267,5839,4,7037000,Big Creek at Des Arc,37.29245,-90.629006,1983/10/01 00:00:00,1997/09/30 00:00:00,,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07037000,0,257.964,99.6,MO
733493,0,0,0,0,0,0,0,0,0,0,0,0,7037700,Clark Creek near Piedmont,37.185906,-90.629561,1956/10/01 00:00:00,1976/09/30 00:00:00,Ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07037700,0,11.3701,4.39,MO
734075,0,0,0,0,20,13919,9625,5,20,13919,9625,5,7037300,Big Creek at Sam A Baker State Park,37.261162,-90.506505,2005/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07037300,1,489.51,189,MO
734307,0,0,0,0,60,36567,26179,6,60,36567,26179,6,7037500,St. Francis River near Patterson,37.194528,-90.503306,1921/10/01 00:00:00,1997/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07037500,1,2476.04,956,MO
758230,0,0,0,0,8,13596,8489,1,8,13596,8489,1,7043000,Castor River at Aquilla,36.952273,-89.907034,1945/10/01 00:00:00,1981/09/30 00:00:00,,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07043000,0,453.25,175,MO
758846,0,0,0,0,16,14614,9006,1,27,67622,40536,2,7043500,Little River Ditch No. 1 near Morehouse,36.834528,-89.730056,1945/10/01 00:00:00,1991/09/30 00:00:00,,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07043500,1,1165.5,450,MO
760032,0,0,0,0,13,53513,31740,1,13,53513,31740,1,7042500,Little River Ditch 251 near Lilbourn,36.5552,-89.669883,1945/10/01 00:00:00,1991/09/30 00:00:00,,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07042500,0,608.65,235,MO
765176,0,0,0,0,1,21,13,0,1,21,13,0,7041000,Little River Ditch 81 near Kennett,36.236544,-89.982358,1926/10/01 00:00:00,1979/09/30 00:00:00,,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07041000,0,287.49,111,MO
766856,0,0,0,0,0,0,0,0,29,68127,40746,2,7045000,LITTLE RIVER DITCH 66 NEAR KENNETT MO,36.236517,-89.979486,1926/10/01 00:00:00,1979/09/30 00:00:00,,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07045000,0,3548.3,1370,MO
766886,0,0,0,0,0,0,0,0,0,0,0,0,7042000,Little River Ditch 1 near Kennett,36.236442,-89.980842,1926/10/01 00:00:00,1979/09/30 00:00:00,,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07042000,0,608.65,235,MO
766888,0,0,0,0,16,14614,9006,1,29,68127,40746,2,7044000,Little River Ditch 251 near Kennett,36.236331,-89.978378,1927/10/01 00:00:00,1979/09/30 00:00:00,,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07044000,0,2286.97,883,MO
789206,0,0,0,0,0,0,0,0,0,0,0,0,2369800,BLACKWATER RIVER NEAR BRADLEY AL,31.02768,-86.709957,1967/10/01 00:00:00,2016/09/30 00:00:00,Ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=02369800,1,227.143,87.7,AL
791526,0,0,0,0,5,3137,2657,0,5,3137,2657,0,2370000,BLACKWATER RIVER NR BAKER,30.83352,-86.734679,1950/10/01 00:00:00,1992/09/30 00:00:00,Ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=02370000,1,530.95,205,FL
792126,0,0,0,0,9,1391,985,0,9,1391,985,0,2370500,BIG COLDWATER CREEK NR MILTON,30.708524,-86.972186,1939/10/01 00:00:00,1978/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=02370500,1,613.83,237,FL
793524,0,0,0,0,1,53,45,0,1,53,45,0,2370700,POND CREEK NR MILTON,30.680747,-87.131913,1958/10/01 00:00:00,1978/09/30 00:00:00,Ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=02370700,0,152.033,58.7,FL
896197,0,0,0,0,11,1166,849,0,11,1166,849,0,2367900,YELLOW RIVER NR OAK GROVE,30.925183,-86.559397,1998/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=02367900,1,1320.9,510,FL
896891,0,0,0,0,9,3883,3349,0,9,3883,3349,0,2368500,SHOAL RIVER NR MOSSY HEAD,30.796021,-86.306891,1951/10/01 00:00:00,1978/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=02368500,1,318.57,123,FL
897115,0,0,0,0,17,3345,2821,1,17,3345,2821,1,2368000,YELLOW RIVER AT MILLIGAN,30.752966,-86.629121,1938/10/01 00:00:00,1993/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=02368000,1,1616.16,624,FL
897185,0,0,0,0,3,263,181,0,3,263,181,0,2368300,BAGGETT CREEK NR MILLIGAN,30.727967,-86.659677,1964/10/01 00:00:00,1982/09/30 00:00:00,,http://waterdata.usgs.gov/nwis/nwisman/?site_no=02368300,0,20.1243,7.77,FL
897999,0,0,0,0,44,9170,7746,1,44,9170,7746,1,2369600,YELLOW RIVER NR MILTON,30.569639,-86.923573,2005/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=02369600,1,3470.6,1340,FL
1009020,0,0,0,0,24,530009.92,332361,3,24,530009.92,332361,3,7344493,Big Cypress Ck at US Hwy 271 nr Pittsburg,33.072931,-94.965228,2005/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07344493,1,720.02,278,TX
1009042,0,0,0,0,35,534976.92,334622,3,35,534976.92,334622,3,7344500,Big Cypress Ck nr Pittsburg,33.020958,-94.882155,1967/10/01 00:00:00,1989/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07344500,1,958.3,370,TX
1009154,0,0,0,0,2,614,240,0,2,614,240,0,7345000,Boggy Ck nr Daingerfield,33.036236,-94.787708,1943/10/01 00:00:00,1977/09/30 00:00:00,Ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07345000,0,186.48,72,TX
1010524,0,0,0,0,1,1889,350,0,1,1889,350,0,7344482,Big Cypress Ck nr Winnsboro,33.023454,-95.270221,1974/10/01 00:00:00,1991/09/30 00:00:00,,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07344482,0,70.448,27.2,TX
1015991,0,0,0,0,0,0,0,0,0,0,0,0,7346140,Frazier Ck nr Linden,33.05402,-94.29019,1965/10/01 00:00:00,1991/09/30 00:00:00,Ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07346140,0,124.32,48,TX
1017865,0,0,0,0,7,1731,861,0,7,1731,861,0,7346045,Black Cypress Bayou at Jefferson,32.777917,-94.357415,1968/10/01 00:00:00,2016/09/30 00:00:00,Ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07346045,1,945.35,365,TX
1017893,0,0,0,0,65,2685698.92,660951,10,65,2685698.92,660951,10,7346000,Big Cypress Bayou nr Jefferson,32.749583,-94.49881,1979/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07346000,1,2201.5,850,TX
1018031,0,0,0,0,0,0,0,0,0,0,0,0,7346080,Big Cypress Ck abv SH 43 nr Karnack,32.738611,-94.2325,2006/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07346080,1,5371.66,2074,TX
1042497,0,0,0,0,37,41789.9,19335.6,1,37,41789.9,19335.6,1,7346050,Little Cypress Ck nr Ore City,32.672641,-94.751043,1963/10/01 00:00:00,1999/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07346050,1,991.97,383,TX
1077643,0,0,0,0,134,1223518.73,511289.55,4,134,1223518.73,511289.55,4,8032500,Neches Rv nr Alto,31.579456,-95.165997,1944/10/01 00:00:00,1978/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08032500,0,5037.55,1945,TX
1079041,0,0,0,0,147,1229562.23,514616.55,4,147,1229562.23,514616.55,4,8033000,Neches Rv nr Diboll,31.132966,-94.809931,1939/10/01 00:00:00,1985/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08033000,1,7055.16,2724,TX
1080121,0,0,0,0,1,230,150,0,1,230,150,0,8033300,Piney Ck nr Groveton,31.140462,-95.086602,1961/10/01 00:00:00,1989/09/30 00:00:00,Ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08033300,0,204.61,79,TX
1109655,0,0,0,0,159,1231310.23,515732.55,4,159,1231310.23,515732.55,4,8033500,Neches Rv nr Rockland,31.025,-94.399444,1903/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08033500,1,9417.24,3636,TX
1111453,1,218200,67000,1,267,8517404.54,3682816.75,13,267,8517404.54,3682816.75,13,8040600,Neches Rv nr Town Bluff,30.791036,-94.151024,1951/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08040600,1,19616.66,7574,TX
1114207,0,0,0,0,270,8517756.54,3683014.75,13,270,8517756.54,3683014.75,13,8041000,Neches Rv at Evadale,30.355764,-94.093237,1921/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08041000,1,20593.09,7951,TX
1122795,0,0,0,0,27,48451,23917,1,27,48451,23917,1,7343500,White Oak Ck nr Talco,33.322336,-95.092718,1950/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07343500,1,1279.46,494,TX
1126461,0,0,0,0,2,466,110,0,2,466,110,0,7343300,Cuthand Ck nr Bogata,33.547609,-95.173002,1963/10/01 00:00:00,1974/09/30 00:00:00,,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07343300,0,178.71,69,TX
1128575,0,0,0,0,117,864667.6,337902.3,2,118,864922.6,338082.3,2,7343450,Sulphur Rv at IH 30 nr Dalby Springs,33.309444,-94.698056,2008/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07343450,1,5117.84,1976,TX
1128587,0,0,0,0,155,917120.6,364156.3,3,155,917120.6,364156.3,3,7344000,Sulphur Rv nr Darden,33.250121,-94.61687,1924/10/01 00:00:00,1956/09/30 00:00:00,,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07344000,0,7184.66,2774,TX
1129533,0,0,0,0,72,844902.6,332261.3,2,73,845157.6,332441.3,2,7343200,Sulphur Rv nr Talco,33.390668,-95.062441,1956/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07343200,1,3638.95,1405,TX
1136062,0,0,0,0,6,868,476,0,6,868,476,0,7347000,KELLY BYU NR HOSSTON,32.857084,-93.872402,1944/10/01 00:00:00,1968/09/30 00:00:00,,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07347000,0,300.44,116,LA
1136258,0,0,0,0,2,286,154.8,0,2,286,154.8,0,7344450,Paw Paw Bayou near Greenwood,32.516819,-93.972405,1956/10/01 00:00:00,1986/09/30 00:00:00,Ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07344450,1,208.495,80.5,LA
1136358,1,150,75,0,172,3551450.53,837082.95,13,172,3551450.53,837082.95,13,7348000,Twelvemile Bayou near Dixie,32.645981,-93.877959,1942/10/01 00:00:00,1995/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=07348000,1,8124.83,3137,LA
1143252,0,0,0,0,2,640,640,0,2,640,640,0,8041700,Pine Island Bayou nr Sour Lake,30.106046,-94.334632,1967/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08041700,1,870.24,336,TX
1149925,0,0,0,0,3,571,413,0,3,571,413,0,8033900,E Fk Angelina Rv nr Cushing,31.860172,-94.82327,1964/10/01 00:00:00,1989/09/30 00:00:00,Ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08033900,0,409.22,158,TX
1150499,0,0,0,0,42,262352,118283,3,42,262352,118283,3,8036500,Angelina Rv nr Alto,31.671844,-94.952715,1959/10/01 00:00:00,2016/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08036500,1,3304.84,1276,TX
1151409,0,0,0,0,22,175782,87373,2,22,175782,87373,2,8034500,Mud Ck nr Jacksonville,31.976556,-95.160779,1939/10/01 00:00:00,1979/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08034500,1,973.84,376,TX
1152351,0,0,0,0,50,386104,158690,4,50,386104,158690,4,8037000,Angelina Rv nr Lufkin,31.457404,-94.726321,1939/10/01 00:00:00,1979/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08037000,0,4144,1600,TX
1157813,0,0,0,0,21,121787,20193.7,2,21,121787,20193.7,2,8038000,Attoyac Bayou nr Chireno,31.50435,-94.304368,1955/10/01 00:00:00,1985/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08038000,1,1302.77,503,TX
1158005,3,92.31,53,0,6,437.31,332,0,6,437.31,332,0,8037050,Bayou Lanana at Nacogdoches,31.61629,-94.641321,1964/10/01 00:00:00,1986/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08037050,1,81.067,31.3,TX
1159329,0,0,0,0,2,5600,2830,0,2,5600,2830,0,8039100,Ayish Bayou nr San Augustine,31.396296,-94.151029,1959/10/01 00:00:00,1985/09/30 00:00:00,Non-ref,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08039100,1,230.51,89,TX
1159649,0,0,0,0,92,538328.31,196910.2,7,92,538328.31,196910.2,7,8038500,Angelina Rv nr Zavalla,31.211579,-94.294643,1951/10/01 00:00:00,1964/09/30 00:00:00,,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08038500,0,7490.28,2892,TX
