"siteno","station_nm","coords.x1","coords.x2"
"02298202","SHELL CREEK NEAR PUNTA GORDA FL",-81.9356414,26.98478094
"02298123","PRAIRIE CREEK NEAR FORT OGDEN FL",-81.7845267,27.05199986
"02299160","DEER PRAIRIE SLOUGH NEAR NORTH PORT CHARLOTTE  FL",-82.2637032,27.11449895
"02297100","JOSHUA CREEK AT NOCATEE FL",-81.8795282,27.16671794
"02299410","BIG SLOUGH CANAL NEAR MYAKKA CITY FL",-82.1442558,27.1933843
"02297310","HORSE CREEK NEAR ARCADIA FL",-81.9884193,27.19949477
"02296750","PEACE RIVER AT ARCADIA FL",-81.8761946,27.22088245
"02298830","MYAKKA RIVER NEAR SARASOTA FL",-82.3137035,27.240605
"02298760","HOWARD CREEK NEAR SARASOTA FL",-82.3400929,27.28838098
"02298608","MYAKKA RIVER AT MYAKKA CITY FL",-82.1567556,27.3436562
"02298554","MYAKKA RIVER NEAR MYAKKA CITY FL",-82.1492555,27.3661553
"02299861","WALKER CREEK NEAR SARASOTA FL",-82.5442639,27.3678222
"02296500","CHARLIE CREEK NEAR GARDNER FL",-81.7964708,27.37504297
"02298495","MAPLE CREEK NEAR MYAKKA CITY FL",-82.1298107,27.38448789
"023000355","COOPER CREEK AT UNIVERSITY PARKWAY NR SARASOTA FL",-82.4595399,27.388655
"02298527","OGLEBY CK DNSTR FROM BOGGY CK NEAR MYAKKA CITY FL",-82.181756,27.40365397
"02298492","LONG CREEK NEAR MYAKKA CITY FL",-82.1264772,27.4094869
"02298530","COKER CREEK NEAR MYAKKA CITY FL",-82.1750893,27.4097648
"02300037","CEDAR CREEK NEAR SARASOTA FL",-82.4812069,27.41448736
"02300033","BRADEN RIV AT LAKEWOOD RANCH NR LORRAINE FL",-82.4261111,27.42055556
"02300034","HICKORY HAMMOCK CREEK NEAR LORRAINE FL",-82.4320391,27.421987
"02300032","BRADEN RIVER NEAR LORRAINE FL",-82.4164832,27.4225425
"02300038","RATTLESNAKE SLOUGH NEAR SARASOTA FL",-82.490096,27.42365367
"02298488","MYAKKA RIVER UPST FROM YOUNGS CK NR MYAKKA CITY FL",-82.1386997,27.4292084
"02300039","NONSENSE CREEK NEAR BRADENTON FL",-82.4675954,27.4347643
"02296260","CHARLIE CREEK NEAR CREWSVILLE FL",-81.6784128,27.45948376
"02299950","MANATEE RIVER NEAR MYAKKA HEAD FL",-82.211201,27.47365137
"02300000","MANATEE RIVER NEAR BRADENTON FL",-82.3012029,27.47531814
"02296223","LITTLE CHARLEY BOWLEGS CREEK NEAR SEBRING FL",-81.5567431,27.4780935
"02297155","HORSE CREEK NEAR MYAKKA HEAD FL",-82.0234197,27.4872613
"02300018","GAMBLE CREEK NEAR PARRISH FL",-82.3895379,27.55337054
"02300210","SOUTH FORK LITTLE MANATEE RIVER NEAR PARRISH FL",-82.2112009,27.60197978
"02295420","PAYNE CREEK NEAR BOWLING GREEN FL",-81.8256384,27.62059006
"02300300","SOUTH FORK LITTLE MANATEE RIVER NEAR WIMAUMA FL",-82.294258,27.6494778
"02300500","LITTLE MANATEE RIVER NEAR WIMAUMA FL",-82.3525925,27.67114344
"02300530","CYPRESS CREEK NEAR WIMAUMA FL",-82.3637038,27.70780854
"02294898","PEACE RIVER AT FORT MEADE FL",-81.7820266,27.7514193
"08211900","San Fernando Ck at Alice",-98.033613,27.77252575
"02300700","BULLFROG CREEK NEAR WIMAUMA FL",-82.3520369,27.79197208
"02301300","SOUTH PRONG ALAFIA RIVER NEAR LITHIA FL",-82.1175877,27.79669525
"02308935","SAINT JOE CREEK AT PINELLAS PARK FL",-82.6956554,27.81419235
"02294781","PEACE RIVER NEAR HOMELAND FL",-81.7995263,27.8211393
"02308889","SEMINOLE LAKE OUTLET NEAR LARGO FL",-82.7803798,27.83919117
"02294775","PEACE RIVER AT CLEAR SPRINGS NEAR BARTOW FL",-81.8075,27.86333333
"02308870","PINEBROOK CN AT BRYAN DAIRY RD AT PINELLAS PARK FL",-82.7370453,27.8722458
"02301500","ALAFIA RIVER AT LITHIA FL",-82.2112008,27.872248
"02301738","ARCHIE CREEK AT 78TH STREET NEAR TAMPA FL",-82.3706484,27.88002457
"02294655","PEACE RIVER NEAR BARTOW FL",-81.8044444,27.88305556
"08211500","Nueces Rv at Calallen",-97.625273,27.88307697
"02301000","NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL",-82.10008689,27.8839148
"02301740","NORTH ARCHIE CREEK AT PROGRESS BLVD. NEAR TAMPA FL",-82.3498147,27.8966908
"02301745","DELANEY CREEK POPOFF CANAL NEAR TAMPA FL",-82.3770375,27.902246
"02294650","PEACE RIVER AT BARTOW FL",-81.8173036,27.90224784
"02308865","ROOSEVELT CANAL AT STR 23-8 NR PINELLAS PARK FL",-82.6756549,27.90752248
"02307780","LONG BRANCH NEAR PINELLAS PARK FL",-82.7248228,27.91585545
"02293986","PEACE CREEK DRAINAGE CANAL NEAR ALTURAS FL",-81.7075792,27.92335788
"02294161","PEACE CREEK NEAR BARTOW FL",-81.7955556,27.92444444
"02301750","DELANEY CREEK NEAR TAMPA FL",-82.3642595,27.9258564
"02301350","LITTLE ALAFIA RIVER NEAR HOPEWELL FL",-82.1561993,27.93780175
"02294491","SADDLE CREEK AT STRUCTURE P-11 NEAR BARTOW FL",-81.8511927,27.93835785
"02301800","SIXMILE CREEK AT TAMPA FL",-82.3684263,27.9666883
"02307671","ALLIGATOR CR BELOW US HWY 19 AT CLEARWATER FL",-82.7273228,27.97529783
"02307668","ALLIGATOR CREEK BELOW BELCHER RD AT CLEARWATER FL",-82.7423232,27.9797421
"02294068","LULU LAKE OUTLET AT ELOISE FL",-81.7295237,27.98446716
"02301793","EAST LAKE OUTFALL AT E. CHELSEA ST. NEAR TAMPA FL",-82.37175969,27.985021
"02306647","SWEETWATER CREEK NEAR TAMPA FL",-82.5450963,28.01390775
"02309415","CURLEW CREEK AT EVANS ROAD NEAR DUNEDIN FL",-82.7406565,28.02335166
"02304500","HILLSBOROUGH RIVER NEAR TAMPA FL",-82.4275939,28.02390784
"02303205","BAKER CREEK AT MCINTOSH ROAD NEAR ANTIOCH FL",-82.2453678,28.02835317
"02293694","PEACE CREEK DRAINAGE CANAL NEAR DUNDEE FL",-81.6595218,28.03085389
"08211000","Nueces Rv nr Mathis",-97.8602769,28.03834719
"02309421","CURLEW CREEK AT BELCHER ROAD NEAR OZONA FL",-82.7475,28.04
